Department Abbreviation,Course Name,Course Number,Credits,Recommendations,Length,NCAA Approved,Elective,Grade,Fee,Description,Notes,Fine Arts Sub-Department,CTE Sub-Department
CTE,ACE Marketing III,86117,1,Successful Completion of Marketing Lab II,Year,No,Yes,12,,"the student continues to develop career decision-making and employability skills to further expand and gain an in-depth understanding of workplace cultures and expectations. The student demonstrates an understanding of the competing demands and responsibilities that are part of the world of work and learns how to balance those roles in his/her own life. The ability to work well with others; understand complex interrelationships; work with a variety of technologies; acquire and use information; organize, plan, and allocate resources; and safety are included in the curriculum and evidenced through a portfolio.","Simultaneous enrollment in a Business course, and  teacher recommendation are required. ",,"Business, Marketing, & Finance"
CTE,Prostart I (Culinary Arts I),83001,1,N/A,Year,No,Yes,"9, 10, 11, 12",$50/YR,"is a basic course that develops skills in foods. Safety and sanitation, use of equipment, basic food preparation skills, nutrition, meal patterns, and careers in food service areas are emphasized. Basic skills are demonstrated during laboratory experiences. Teamwork, application of literacy skills, and curriculum integration are an integral part of the course.",Students may be required to participate in fundraising activities to cover field trips and competition expenses.,,Family and Consumer Sciences
CTE,Prostart II (Culinary Arts II),83002,1,Prostart I,Year,No,Yes,"10, 11, 12",$50/YR,"Prostart II is designed for the student who is interested in extending his/her culinary skills. Culinary Arts II expands upon the basic skills learned in Culinary Arts I. Areas of study include, but are not limited to, safety and sanitation, use of equipment, international cuisine, nutrition, meal patterns, and careers in food service areas. Increasingly complex food preparation techniques are developed. Teamwork, application of literacy skills, and curriculum integration are an integral part of the course.",Students may be required to participate in fundraising activities to cover field trips and competition expenses.,,Family and Consumer Sciences
CTE,Prostart Internship I,83013,1,Prostart I & II,Year,No,Yes,"10, 11, 12",$50/YR,"The Prostart Internship teaches the skills of basic gourmet food preparation and catering. The student learns and practices skills related to safety and sanitation on the worksite, customer relations, the preparation and serving of foods for customer consumption, and the use of food service equipment in a commercial kitchen. Career opportunities in the Food Services field are explored. Teamwork, application of literacy skills, and curriculum integration are an integral part of the course. Skills are assessed through participation in culinary events throughout the year.",Additional hours are required outside traditional class time for field experience. Uniform and membership dues are required. Students may be required to participate in fundraising activities to cover field trips and competition expenses.,,Family and Consumer Sciences
CTE,Prostart Internship II,83014,1,Successful completion of Prostart Internship I,Year,No,Yes,"10, 11, 12",$50/YR,"The Prostart Internship II teaches the skills of basic gourmet food preparation and catering. The student learns and practices skills related to safety and sanitation on the worksite, customer relations, the preparation and serving of foods for customer consumption, and the use of food service equipment in a commercial kitchen. Career opportunities in the Food Services field are explored. Teamwork, application of literacy skills, and curriculum integration are an integral part of the course. Skills are assessed through participation in culinary events throughout the year.",Additional hours are required outside traditional class time for field experience. Uniform and membership dues are required. Students may be required to participate in fundraising activities to cover field trips and competition expenses.,,Family and Consumer Sciences
CTE,Architecture Design 1,80333,1,N/A,Year,No,Yes,"9, 10, 11, 12",$40/YR," In Architecture Design I, the student develops drafting and design techniques to study the basic principles of residential building design and construction with an emphasis on measurement, basic CAD commands, and employability skills. The student produces hand drawn and/or computer-generated designs and projects. Career interests are explored.",Architecture Design 2-4 are offered at CEC. Please see your counselor for further details.,,Trades and Services
CTE,NCCER Core Curriculum (Woods I),80135,1,N/A,Year,No,Yes,"9, 10, 11, 12",$40/YR,"NCCER Core Curriculum introduces the student to most phases of woodworking and its application to industry and society. The focus is on safety, design, planning, measurement, hand tools, power tools, assembly and hardware, preparation and finishing materials, and employability skills. The student completes projects that are enjoyable to make and are useful.",,,Trades and Services
CTE,Carpentry II,80136,1,NCCER Core Curriculum,Year,No,Yes,"10, 11, 12",$40/YR,"Carpentry II continues to expose the student to more advanced phases of woodworking. The focus is on safety, design, planning, measurement, power tools, assembly and hardware, preparation and finishing materials, and employability skills. The student works in a self-paced environment working on a major project.",,,
CTE,Carpentry III,80145,1,Carpentry II,Year,No,Yes,"11, 12",$40/YR,"enhances the student’s skills in cabinet making and trains him/her to perform to industry standards. The focus is on safety design, planning, measurement, technical reading, listening, and reviewing, assembly and hardware, preparation, materials and employability skills.",,,
CTE,Construction Internship/Carpentry IV,86300,1,Carpentry III,Year,No,Yes,12,$40/YR,"advances the student’s skills in working with different types of wood. The student specializes in hand-made furniture with a focus on Southwest furniture and custom production. areas of study are safety, joinery, design, planning, procedures and materials selection, usage and maintenance of hand and power tools, measurement, layout, cutting, glue up, and assembly, finishing, and employability skills. The student becomes more proficient with hand tools, saws, mortise/tendon joints, dado joints, dowel joints, and biscuit joints.",,,
ELA,Creative Writing II,24541,1,Successful Completion of Creative Writing I or English 11 (or teacher recommendation for 23-24 SY only),Year,Yes,No,"11, 12",,"Creative Writing II is a senior level English course that is open as an elective to juniors who have successfully completed Creative Writing 1 and seniors who seek an alternative English class that focuses on many forms of writing. In Creative Writing II, the student advances discussion of selected models of various works from around the world to gain a background for extensive original writing. Students will read extensively both classic and contemporary works of fiction, drama, poetry, and nonfiction. The reading will prepare students to write their own pieces in each genre. The student develops and refines working and showcases portfolios (traditional and/or electronic) representing best work in various genres, e.g., short stories, one-act plays, poetry, fiction, and non-fiction). As part of the creative process, the student identifies and concentrates on individual needs for vocabulary development, spelling, sentence structure, and revision. In addition, the student refines technique and style and revises work through peer and self-editing and prepares freelance work for submission to contests and publishers. The student shares work in class discussions for feedback and analysis and uses technology to support writing, research, presentations, and the procedures for submitting work for consideration to print and online literary magazines.","In order for Creative Writing II to count for English 12 credit, Creative Writing II must be taken in the senior year
",,
ELA,Crime and Punishment,22072,1,Successful completion of previous English classes.,Year,Yes,No,12,,"The Crime and Punishment course is designed to address some of the most important issues in societies, past and present. It will look at how we try to understand and deter crime, punish criminals, and rehabilitate them. The course highlights careers in criminology, the debate surrounding capital punishment, the life of a prison inmate, the trial and jury system, famous criminals and crime, and finally, explores the individual’s sense of good and evil. The students will conclude the course with reflections of their compiled studies through a project that requires them to go public with their findings.",,,
ELA,Film Criticism,20538,1,Successful Completion of English 11,Year,No,No,"11, 12",,"In Film Criticism, the student studies the history, development, and art form of the motion picture and its influence and reflection of society. The student studies the language of filmmaking, techniques of filmmaking, and literary and technical analysis as criteria for evaluating films and literature from around the world. The student also applies media literacy techniques by ""reading"" visual images as ""texts"" and by comparing/contrasting original novels and stories to corresponding screenplays. Students work to prepare for success at the college level in thinking, analysis and writing. The students will study film genres: Musicals, Westerns, The Crime Film, Film Noir, The Comedy, The Woman’s Film, Science Fiction, etc.",Can be an elective course or English replacement for grades 11 and 12.,,
ELA,Creative Writing I,24540,1,,Year,No,Yes,"9, 10, 11, 12",," In Creative Writing I, the student reads, analyzes, and discusses selected models of  various American authors to gain a background for extensive original thought and writing. The student  experiments with and creates working and showcase portfolios (traditional and/or electronic) representing  best work in various genres (e.g., short stories, one-act plays, poetry, fiction, and nonfiction). As part of the  creative process, the student identifies and concentrates on individual needs for vocabulary development,  spelling, sentence structure, and revision and prepares free-lance work for submission to publishers. The  student uses technology to support writing, research, and the procedures for submitting work for  consideration to print and on-line literary magazines.",,,
ELA,Yearbook I,24036,1,N/A,Year,No,Yes,"9, 10, 11, 12",,"In Yearbook I, the student applies entry-level journalistic skills introduced in  Journalism/Mass Communications and participates in specialized areas depending on interest and staffing  needs. The student gains experience with cooperative and group processes in areas of planning, decision making, conflict resolution, team building, business management, elements of design and photography,  desktop publishing, time management, and ""dead lining"" with guidance, coaching, and mentoring from more  advanced student editors and supervision from the teacher/advisor. The student generates authentic work  by producing a yearbook for the school and community. ","Yearbook I requires the student to spend time outside of class to work on the yearbook  production process, including taking photographs, selling advertising, and meeting individual and staff  deadlines. The student is encouraged to participate in scholastic journalism conferences and  competitions as approved by the teacher. Per Senate Bill 25 (March 2001), the student may earn an  academic letter by meeting pre-established criteria.",,
ELA,Yearbook II,24037,1,Successful Completion of Yearbook I,Year,No,Yes,"10, 11, 12",," In Yearbook II, the student enhances individual skills in all journalistic areas and also develops areas of expertise, specializing in one or more areas of the yearbook production process. The  student also refines skills with group processes, such as decision-making, conflict resolution, and time  management with respect to individual and staff deadlines and mentors less experienced staff members. The  Yearbook II student is encouraged to assume increased responsibility and to develop skills that lead to  editorial positions with mentoring and coaching from more experienced staff members and with guidance  from the teacher/advisor. The student generates authentic work by producing a yearbook for the school and  community.","Yearbook II requires the student to  spend time outside of class to work on the yearbook production process, editing copy and advertising,  desktop publishing, and facilitating staff work within deadlines. The student is expected to participate  in scholastic journalism conferences, competitions, and internships as approved by the teacher. Per  Senate Bill 25 (March 2001), the student may earn an academic letter by meeting pre-established  criteria.",,
ELA,Yearbook III,24038,1,Successful Completion of Yearbook II,Year,No,Yes,"11, 12",,"In Yearbook III the student refines and enhances previous journalistic skills and  assumes increasingly more challenging and demanding leadership and mentoring roles on the newspaper  staff. As specified in the specific staff position description, the editor is responsible for long range planning,  reinforcing editorial policy, and operating the budget. The editor also orchestrates the co-curricular aspect of  the program in cooperation with the editors and the teacher/advisor. Besides writing and editing copy,  advertising, art, and photography, the editor also coordinates desktop publishing according to printers’  specifications, within legal and ethical parameters, and within deadlines. The student generates authentic  work by producing a yearbook for the school and community.","Yearbook III requires the student to spend increased time outside of class to help lead  the yearbook production process. The student is expected to actively participate in scholastic journalism  conferences, competitions, and internships as approved by the teacher. Per Senate Bill 25 (March 2001),  the student may earn an academic letter by meeting pre-established criteria. ",,
ELA,Yearbook IV,24039,1,Successful Completion of Yearbook III,Year,No,Yes,12,,"In Yearbook IV, the student assumes more responsibility for visioning, leading,  organizing, and mentoring less experienced editors and staff. As specified in the specific staff position description, the editor is responsible for long-range planning, reinforcing editorial policy, and operating the  budget and orchestrating the co-curricular aspect of the program in cooperation with other editors and the  teacher/advisor. Besides honing specialty areas of interests, the editor also supervises desktop publishing  according to printers’ specifications within legal and ethical parameters and within deadlines. The Yearbook  IV student models collaborative leadership qualities in addition to making the yearbook a viable and  competitive medium. The student generates authentic work by producing a yearbook for the school and  community.","Yearbook IV requires the student  to spend time outside of class to work on the yearbook production process, editing copy and advertising,  desktop publishing, and facilitating staff work within deadlines. The student is expected to participate  in scholastic journalism conferences, competitions, and internships as approved by the teacher. Per  Senate Bill 25 (March 2001), the student may earn an academic letter by meeting pre-established  criteria.",,
FA,Art I,70030,1,N/A,Year,No,Yes,"9, 10, 11, 12",$30/YR,"Art I is an entry level course recommended as a prerequisite for all art/crafts courses. Art I is a design and visual fundamental class which exposes the student to a variety of methods, techniques, and media. Literacy is integrated throughout the course.",,Visual Arts,
FA,Illustration 1,71030,1,NA,Year,No,Yes,"9, 10, 11, 12",$50/YR,,,,
FA,Ceramics I,70511,1,N/A,Year,No,Yes,"9, 10, 11, 12",$50/YR,"Ceramics I is a beginning course in ceramics design which includes wheel throwing, hand building, glazing and firing of sculptural and functional objects made of clay. The student examines and develops skills and proficiency in basic ceramic processes. Literacy is integrated throughout the course.
",The use of special materials for specific projects may require an additional fee.,Visual Arts,
FA,Ceramics II,70512,1,Successful Completion of Ceramics I,Year,No,Yes,"10, 11, 12",$50/YR,In Ceramics II the student demonstrates progress in the acquired skills. He/She individually demonstrates problem-solving and decision making skills when applying the principles of design. Emphasis is on underlying concepts and/or ideas on the student’s work based on informed choices and personal aesthetics. Literacy is integrated throughout the course,The use of special materials for specific projects may require an additional fee.,Visual Arts,
FA,Ceramics III,70513,1,Successful Completion of Ceramics II,Year,No,Yes,"11, 12",$50/YR,"Ceramics III is designed for the student who has a serious interest in ceramics. He/She has the ability to work independently, to form goals, become familiar with careers, and develop work habits of professionals. Literacy is integrated throughout the course.",The use of special materials for specific projects may require an additional fee.,Visual Arts,
FA,Ceramics IV,70514,1,Successful Completion of Ceramics III,Year,No,Yes,12,$50/YR,"In Ceramics IV the student develops, clarifies, and applies his/her philosophy of ceramics. He/She continues with independent work and advanced explorations with techniques, processes, and aesthetics. The student develops and refines a portfolio evidencing high quality, a broad base of knowledge, and in-depth understanding of personal ceramic forms. Literacy is integrated throughout the course.",The use of special materials for specific projects may require an additional fee.,Visual Arts,
FA,Painting and Drawing I,71010,1,N/A,Year,No,Yes,"10, 11, 12",$50/YR,"Painting and Drawing I is a studio course and requires the student to have an understanding of the basic design and visual art fundamentals acquired in Art I. The student works in various drawing and painting media (e.g., pencil, colored pencil, charcoal, conte crayon, gouache, oil painting, water color, acrylic, pastels, dyes, inks). He/She studies the making of art and directs his/her awareness and growth through art history, aesthetics, and art criticism. The student prepares work for the market and uses this venue to pursue career possibilities. 
",,Visual Arts,
FA,Painting and Drawing II,71012,1,Successful Completion of Drawing and Painting I,Year,No,Yes,"11, 12",$50/YR," Painting and Drawing II is a studio course for the student who has completed Art I and Painting and Drawing I. The student reviews painting and drawing and explores advanced painting and drawing techniques in a variety of media. He/She has an opportunity to focus on projects of choice while developing more in-depth painting and drawing skills. The student pursues career possibilities and explores art history. Literacy strategies are integrated throughout the course. 
",,Visual Arts,
FA,Painting and Drawing III,71014,1,Successful Completion of Drawing and Painting II,Year,No,Yes,12,$50/YR," Painting and Drawing III is a continuation of Painting and Drawing II. The student continues to explore a variety of media and techniques and gain experience in the exploration of mixed media as he/she develops his/her individual style of image making. He/She again has the opportunity to focus on projects of his/her choice. He/She pursues career possibilities and explores art history. Literacy strategies are integrated throughout the course. 
",,Visual Arts,
FA,AP Studio 2D Art ,72070,1,"Successful Completion of a High School Art Course
",Year,No,Yes,"11, 12",$50/YR," The AP 2D Art & Design course is a rigorous college level course designed for students who are seriously interested in the practical experience of art. AP 2D Art & Design is not based on a written exam; instead, students submit a portfolio for evaluation at the end of the school year. The student completes the sustained investigation and quality components of the AP 2D Art & Design course. Literacy is integrated throughout the course. Skill and knowledge acquired in this course can be applied to the Arts Audio-Video Technology and Communications Career Cluster and respective pathways.","This course carries a weighted grade.
",Visual Arts,
FA,AP Art History,72053,1,"Successful Completion of a High School Art Course
",Year,No,Yes,"11, 12",,"Advanced Placement Art History provides an understanding and knowledgeable appreciation for architecture, sculpture, painting, and other art forms within their historical and geographical context considering such issues as patronage, gender, and the functions and effects of works of art. The course emphasizes the role the visual arts play in our understanding of the social, political, technological, and philosophical history of humankind and interactions with different types of human societies. The student learns to analyze works of art from many world traditions and articulate what he/she sees in writing. The course promotes an understanding of the elements of art, fundamental art historical terminology, and technical processes used in the production of art.","Important Notes: The student is encouraged to take the Advanced Placement examination. Many universities and colleges consider successful completion of the class and taking the exam as evidence of an academic commitment. Depending on the student’s score and the policy of the university or college, the student may receive college credits",,
,,,,,,,,,,,,,
FA,Photography I,71530,1,N/A,Year,No,Yes,"9, 10, 11, 12",$60/YR,"This course highlights the nature of change and continuity in international frameworks, their causes and consequences. The student uses critical thinking skills to demonstrate an understanding of major ideas, eras, themes, developments, and turning points in art history. The course emphasizes and develops close reading, writing, and research skills that are necessary for success in the class.","The student will need to have a way to take digital photographs such as a cell phone or digital camera. Currently, the Canon T7 Rebel is used in class. Students will have to provide some photographic paper, film, a course binder, a notebook, and a device by which to take digital photographs. Current trends and practices may vary from site to site.",Visual Arts,
FA,Photography II,71532,1,"Successful Completion of Photography I
",Year,No,Yes,"10, 11, 12",$60/YR,," The student will need to have a way to take digital photographs such as a cell phone or digital camera. Currently, the Canon T7 Rebel is used in class. Students will have to provide some photographic paper, film, a course binder, a notebook, and a device by which to take digital photographs. Current trends and practices may vary from site to site.",Visual Arts,
FA,Photography III,71534,1," Successful Completion of Photography II
",Year,No,Yes,"11, 12",$60/YR,"Photography III is a continuation of Photography II with an emphasis placed on developing personal style using special effects (e.g., hand coloring, sepia and selenium toning, solarization, multiple exposures, film or digital camera) and assorted techniques. Literacy is integrated throughout the course and career possibilities are pursued. ","The student will need to have a way to take digital photographs such as a cell phone or digital camera. Currently, the Canon T7 Rebel is used in class. Students will have to provide some photographic paper, film, a course binder, a notebook, and a device by which to take digital photographs. Current trends and practices may vary from site to site.
There will be some use of 35mm film cameras. Current trends and practices may vary from site to site.

",Visual Arts,
FA,Photography IV,71536,1,Successful Completion of Photography III,Year,No,Yes,12,$60/YR,"In Photography IV the student develops, clarifies, and applies his/her philosophy of photography. He/She continues with independent work and advanced explorations with techniques, processes, and aesthetics. The student develops and refines a portfolio evidencing high quality, a broad base of knowledge, and in-depth understanding of personal photographic forms. This portfolio should be worthy of AP assessment and entry level careers. Literacy strategies are integrated throughout the curriculum.",Students must provide a course binder and notebook. The course utilizes Digital cameras. Each student needs a Digital camera or a cell phone that takes digital photographs. There will be some use of 35mm film cameras. Current trends and practices may vary from site to site.,Visual Arts,
FA,Computer Graphics I,71570,1,N/A,Year,No,Yes,"9, 10, 11, 12",$50/YR,"Computer Graphics I offers the student a new medium with which to create art. The student learns the basics of visual design elements and principles, learns to use the computer as a visual design medium, and develops skill, confidence, and sensitivity in applying knowledge of art media and techniques to the production of artwork. The student receives training in an industry standard bitmap graphics program (e.g., Illustrator and Photoshop) graphics program. The production of computer art is applied to various other content areas and acquired skills are related to careers in art and other fields that now require computer graphics capabilities. Areas of study are visual design, conventions and history, technical literacy, visual communication, career awareness, and preparation of work for public display.
","his course satisfies the graduation requirement that a student must earn one (1) career cluster, workplace readiness, or language credit.
",Visual Arts,
FA,Computer Graphics II,71572,1,"Successful Completion of Computer Graphics I
",Year,No,Yes,"10, 11, 12",$50/YR,"Computer Graphics II offers the student an opportunity to explore computer graphics applications with a bent toward mastery of advanced technical skills and concepts. The student continues to apply the basics of visual design elements and principles, to use the computer as a visual design medium, and to enhance his/he skill, confidence, and sensitivity in applying advanced knowledge of art media and techniques to the creation of graphic products. They receive training in an industry standard bitmap graphics program (e.g., Adobe Photoshop) in addition to a vector-based (e.g., Illustrator) graphics program. Advanced skills are learned through a variety of applications. Areas of study are visual design, conventions and history, technical literacy, visual communication, career awareness, and preparation of work for public display.",,Visual Arts,
FA,Computer Graphics III,71574,1,"Successful Completion of Computer Graphics II
",Year,No,Yes,"11, 12",$50/YR,"Computer Graphics III offers the student an opportunity to further study computer graphics with emphasis on mastery of advanced technical skills and concepts. The student continues to apply visual design elements and principles, to use the computer as a visual design medium, and to gain proficiency, confidence, and sensitivity in applying advanced knowledge of art media and techniques to the creation of graphic products. Advanced skills are learned through a variety of applications. Areas of study are visual design, conventions and history, technical literacy, visual communication, career awareness, and preparation of work for public display. Emphasis is placed on creating an individualized body of work which represents a personal exploration of viewpoints. ",,Visual Arts,
FA,Jewelry,70530,1,None,Year,No,Yes,"9,10,11,12",$50/YR,"s an introductory course to the basics of the jewelry medium. Emphasis is placed upon the student’s skills, craftsmanship, and originality. The techniques of soldering, faceting, cabochon, casting, and finishing are taught. The student explores a variety of materials, which can be used in the making of jewelry. He/She examines career possibilities and learns to prepare his/her work for the market. Literacy is integrated throughout the course.",Important Notes: The use of special materials for specific projects may require an additional fee.,Visual Arts,
FA,Jewelry II,70532,1,Successful Completion of Jewlery I,Year,No,Yes,"10,11,12",$50/YR,"Jewelry II the student demonstrates progress in the acquired skills. He/She individually demonstrates problem- solving and decision-making skills when applying the principles of design. Emphasis is on the student’s skills, craftsmanship, and originality. The techniques of soldering, faceting, cabochon, casting, and finishing are taught. The student explores a variety of materials used in making jewelry. He/She is trained in career possibilities and learns to prepare his/her work for the market. Literacy is integrated throughout the course.",Important Notes: The use of special materials for specific projects may require an additional fee.,,
FA,Jewelry III,70534,1,Successful Completion of Jewlery II,Year,No,Yes,"11,12",$50/YR,"Jewelry III is designed for the student who has a serious interest in jewelry. He/She has the ability to work independently, to form goals, become familiar with careers and develop work habits of professionals. Literacy is integrated throughout the course.",,,
FA,Concert Band I,73037,1, Audition or Instructor Approval,Year,No,Yes,"9, 10, 11, 12"," Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Concert Band 1-4 is a series of courses for students with previous instrumental experience on standard woodwind, brass, or percussion instruments. Concert band teaches intermediate techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The student performs within the traditions and standards of a Wind Band using graded music appropriate for the level of the class while progressing toward more advanced music literature performed at subsequent course levels. Literacy is integrated throughout the course.",The student is required to attend all rehearsals and performances during and outside the school day and in fund-raising activities.  ,Performing Arts,
FA,Concert Band II,7303A,1, Audition or Instructor Approval,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Concert Band 1-4 is a series of courses for students with previous instrumental experience on standard woodwind, brass, or percussion instruments. Concert band teaches intermediate techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The student performs within the traditions and standards of a Wind Band using graded music appropriate for the level of the class while progressing toward more advanced music literature performed at subsequent course levels. Literacy is integrated throughout the course.",The student is required to attend all rehearsals and performances during and outside the school day and in fund-raising activities.  ,Performing Arts,
FA,Concert Band III,7303B,1, Audition or Instructor Approval,Year,No,Yes,"11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Concert Band 1-4 is a series of courses for students with previous instrumental experience on standard woodwind, brass, or percussion instruments. Concert band teaches intermediate techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The student performs within the traditions and standards of a Wind Band using graded music appropriate for the level of the class while progressing toward more advanced music literature performed at subsequent course levels. Literacy is integrated throughout the course.",The student is required to attend all rehearsals and performances during and outside the school day and in fund-raising activities.  ,Performing Arts,
FA,Concert Band IV,7303C,1, Audition or Instructor Approval,Year,No,Yes,12,"Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Concert Band 1-4 is a series of courses for students with previous instrumental experience on standard woodwind, brass, or percussion instruments. Concert band teaches intermediate techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The student performs within the traditions and standards of a Wind Band using graded music appropriate for the level of the class while progressing toward more advanced music literature performed at subsequent course levels. Literacy is integrated throughout the course.",The student is required to attend all rehearsals and performances during and outside the school day and in fund-raising activities.  ,Performing Arts,
FA,Marching Band I,7303F,0.5,Audition,Semester,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance.","Marching Band I is designed to present marching band techniques with appropriate  music. Students in Marching Band I will be able to demonstrate basic marching and outdoor music  performance techniques. Students will develop musical and technical skills necessary to perform music with  correct style and accuracy, apply individual discipline in a performance setting, and demonstrate group  cooperation. Students will be required to memorize music and marching formations as required in various  settings.","This course is the required Fall Semester simultaneous, zero hour (before  school) companion course to Symphonic Band. Attendance is REQUIRED to all outside of school time  rehearsals and performances, in addition to class time and school day events/activities. This course is a zero hour course and is taught before the regular school day. Out of school rehearsals and performances are part of the instructional program. Attendance is  required. 2 year enrollment will allow a waiver for PE credit.  Concurrent enrollment in Symphonic Band
",Performing Arts,
FA,Marching Band II,7303G,0.5,Audition,Semester,No,Yes,"10, 11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance."," Marching Band II is designed to perform marching band techniques with appropriate  music. Students in Marching Band II will refine and demonstrate an intermediate level of marching and  outdoor music performance techniques. Students will develop musical and technical skills necessary to  perform music with correct style and accuracy, apply individual discipline in performance setting, and  demonstrate group cooperation. Students will be required to memorize music and marching formations as  required in various settings. ","This course is the required Fall Semester simultaneous,  zero hour (before school) companion course to Symphonic Band. Attendance is REQUIRED to all outside  of school time rehearsals and performances, in addition to class time and school day events/activities.  This course is a zero hour course and is taught before the  regular school day. Out of school rehearsals and performances are part of the instructional program.  Attendance is required. 2 year enrollment will allow a waiver for PE credit. Concurrent enrollment in Symphonic Band",Performing Arts,
